a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a64,a65,a66,a67,a68,a69,a70,a71,a72,a73,a74,a75,a76,a77,a78,a79
6,1,10,1,1,11,11,11,1,8,7,7,8,1,11,11,11,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,7,7,7,7,1,14,14,14,1,7,7,7,1,6,6
6,6,1,6,1,11,11,11,1,8,7,7,8,1,11,11,11,1,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,7,7,7,7,1,3,3,3,3,3,1,7,7,7,1,6
6,6,6,6,1,11,11,11,11,1,1,1,1,11,11,11,11,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,14,14,14,14,1,1,1,1,6
6,6,6,6,1,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,3,1,5,1,3,3,1,1,3,3,1,6,6
6,6,6,6,1,11,11,11,11,11,11,11,11,11,11,11,11,1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,14,1,5,1,14,1,8,8,1,14,1,6,6
6,6,6,6,1,11,1,1,1,1,11,11,1,1,1,1,11,1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,3,1,5,1,3,1,1,1,1,3,1,6,6
6,6,6,1,1,11,1,7,7,1,11,11,1,7,7,1,11,1,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,14,1,5,1,14,14,14,14,14,14,1,6,6
6,6,1,10,1,11,1,8,8,1,11,11,1,8,8,1,11,1,13,1,1,1,1,12,1,1,1,1,12,1,1,1,1,12,12,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
6,1,1,1,1,11,1,1,1,1,11,11,1,1,1,1,11,1,13,1,7,7,1,12,1,7,7,1,12,1,7,7,1,12,12,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,6
6,6,6,6,1,11,11,11,11,11,11,11,11,11,11,11,11,1,13,1,8,8,1,12,1,8,8,1,12,1,8,8,1,12,12,1,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
6,6,6,6,1,11,1,1,1,11,11,11,11,1,1,1,11,1,13,1,1,1,1,12,1,1,1,1,12,1,1,1,1,12,12,1,6,6,6,6,6,6,6,6,6,6,6,1,12,12,12,12,16,12,1,6,6,6,6,6,6,6,6,6,6,6,1,3,1,5,1,3,3,1,1,3,3,1,6,6
6,6,6,1,1,11,1,7,1,11,11,11,11,1,7,1,11,1,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,6,6,6,6,6,6,6,6,6,6,6,1,16,16,12,16,16,16,1,6,6,6,6,6,6,6,6,6,6,6,1,14,1,5,1,14,1,8,8,1,14,1,6,6
6,6,1,10,1,11,1,8,1,11,11,11,11,1,8,1,11,1,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,6,6,6,6,6,6,6,6,6,6,6,1,12,12,16,12,12,12,1,6,6,6,6,6,6,6,6,6,6,6,1,3,1,5,1,3,3,1,1,3,3,1,6,6
6,1,1,1,1,11,1,1,1,11,11,11,11,1,1,1,11,1,13,12,1,1,1,1,12,12,12,12,1,1,1,1,12,12,12,1,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,1,14,1,5,1,14,14,14,14,14,14,1,6,6
6,6,6,6,1,11,11,11,11,11,11,11,11,11,11,11,11,1,13,1,10,10,10,10,1,12,12,1,10,10,10,10,1,12,12,1,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
6,6,6,6,1,11,1,1,1,11,11,11,11,1,1,1,11,1,13,1,1,1,1,1,1,12,12,1,1,1,1,1,1,12,12,1,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,6
6,6,6,1,1,11,1,7,1,11,11,11,11,1,7,1,11,1,13,12,1,7,7,1,12,12,12,12,1,7,7,1,12,12,12,1,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
6,6,1,10,1,11,1,8,1,11,11,11,11,1,8,1,11,1,13,12,1,8,8,1,12,12,12,12,1,8,8,1,12,12,12,1,6,6,6,6,6,6,6,1,4,4,4,4,4,4,4,4,4,4,4,4,1,6,6,6,6,6,6,6,6,6,1,3,1,5,1,3,3,1,1,3,3,1,6,6
6,1,1,1,1,11,1,1,1,11,11,11,11,1,1,1,11,1,13,1,1,1,1,1,1,12,12,1,1,1,1,1,1,12,12,1,6,6,6,6,6,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,6,6,6,6,6,6,6,6,1,14,1,5,1,14,1,8,8,1,14,1,6,6
